answer,count,cluster,sentiment,corrected,question,code
глазов,5,глазов,neutrals,глазов,Какой город Вы представляете?,27497
город-герой севастополь,1,севастополь,neutrals,город герой севастополь,Какой город Вы представляете?,27497
севастополь,3,севастополь,neutrals,севастополь,Какой город Вы представляете?,27497
димитровград,1,димитровград,neutrals,димитровград,Какой город Вы представляете?,27497
домодедово,1,домодедово,neutrals,домодедово,Какой город Вы представляете?,27497
екатеринбург,6,екатеринбург,neutrals,екатеринбург,Какой город Вы представляете?,27497
енергодар,2,энергодар,neutrals,энергодар,Какой город Вы представляете?,27497
энергодар,6,энергодар,neutrals,энергодар,Какой город Вы представляете?,27497
железногорск,4,железногорск,neutrals,железногорск,Какой город Вы представляете?,27497
железногорск красноярский край,2,железногорск,neutrals,железногорск красноярский край,Какой город Вы представляете?,27497
железнодорожный,1,железнодорожный,neutrals,железнодорожный,Какой город Вы представляете?,27497
заречный,2,заречный,neutrals,заречный,Какой город Вы представляете?,27497
заречный (свердловская обл),1,заречный свердловская область,neutrals,заречный свердловская область,Какой город Вы представляете?,27497
заречный (свердловская область,1,заречный свердловская область,neutrals,заречный свердловская область,Какой город Вы представляете?,27497
заречный(свердловская область,1,заречный свердловская область,neutrals,заречный свердловская область,Какой город Вы представляете?,27497
заречный свердловская область,1,заречный свердловская область,neutrals,заречный свердловская область,Какой город Вы представляете?,27497
заречный пензенская,1,заречный пензенская,neutrals,заречный пензенская,Какой город Вы представляете?,27497
зеленогорск,2,зеленогорск,neutrals,зеленогорск,Какой город Вы представляете?,27497
иваново,1,иваново,neutrals,иваново,Какой город Вы представляете?,27497
ижевск,2,ижевск,neutrals,ижевск,Какой город Вы представляете?,27497
иркутск,1,иркутск,neutrals,иркутск,Какой город Вы представляете?,27497
ишимбай,1,ишимбай,neutrals,ишимбай,Какой город Вы представляете?,27497
казань,2,казань,neutrals,казань,Какой город Вы представляете?,27497
казань республика татарстан,1,казань,neutrals,казань республика татарстан,Какой город Вы представляете?,27497
калуга,1,калуга,neutrals,калуга,Какой город Вы представляете?,27497
киров,1,киров,neutrals,киров,Какой город Вы представляете?,27497
ковров,1,ковров,neutrals,ковров,Какой город Вы представляете?,27497
кострома,1,кострома,neutrals,кострома,Какой город Вы представляете?,27497
краснодар,2,краснодар,neutrals,краснодар,Какой город Вы представляете?,27497
краснокаменск,4,краснокаменск,neutrals,краснокаменск,Какой город Вы представляете?,27497
красноуфимск,1,красноуфимск,neutrals,красноуфимск,Какой город Вы представляете?,27497
курск,2,курск,neutrals,курск,Какой город Вы представляете?,27497
курчатов,2,курчатов,neutrals,курчатов,Какой город Вы представляете?,27497
ленинград,1,санкт петербург,neutrals,ленинград,Какой город Вы представляете?,27497
санки-петербург,1,санкт петербург,neutrals,санкт петербург,Какой город Вы представляете?,27497
санкт петербург,1,санкт петербург,neutrals,санкт петербург,Какой город Вы представляете?,27497
санкт~петербург,1,санкт петербург,neutrals,санкт петербург,Какой город Вы представляете?,27497
санкт-петербург,28,санкт петербург,neutrals,санкт петербург,Какой город Вы представляете?,27497
спб,1,санкт петербург,neutrals,санкт-петербург,Какой город Вы представляете?,27497
лесной,3,лесной,neutrals,лесной,Какой город Вы представляете?,27497
лыткарино,2,лыткарино,neutrals,лыткарино,Какой город Вы представляете?,27497
минск,1,минск,neutrals,минск,Какой город Вы представляете?,27497
москва,130,москва,neutrals,москва,Какой город Вы представляете?,27497
москва и ноябрьск,1,москва,neutrals,москва и ноябрьск,Какой город Вы представляете?,27497
москва троицк,1,москва,neutrals,москва троицк,Какой город Вы представляете?,27497
мурманск,4,мурманск,neutrals,мурманск,Какой город Вы представляете?,27497
набережные челны,1,набережные челны,neutrals,набережные челны,Какой город Вы представляете?,27497
набережные челны рт,1,набережные челны,neutrals,набережные челны рт,Какой город Вы представляете?,27497
находка,1,находка,neutrals,находка,Какой город Вы представляете?,27497
нижневартовск,1,нижневартовск,neutrals,нижневартовск,Какой город Вы представляете?,27497
нижний новгород,27,нижний новгород,neutrals,нижний новгород,Какой город Вы представляете?,27497
нововоронеж,5,нововоронеж,neutrals,нововоронеж,Какой город Вы представляете?,27497
новороссийск,1,новороссийск,neutrals,новороссийск,Какой город Вы представляете?,27497
новосибирск,7,новосибирск,neutrals,новосибирск,Какой город Вы представляете?,27497
новоуральск,2,новоуральск,neutrals,новоуральск,Какой город Вы представляете?,27497
обнинск,12,обнинск,neutrals,обнинск,Какой город Вы представляете?,27497
озерск,5,озерск,neutrals,озерск,Какой город Вы представляете?,27497
озерск ❤️,1,озерск,neutrals,озерск,Какой город Вы представляете?,27497
озёрск челябинская область,1,озерск,neutrals,озёрск челябинская область,Какой город Вы представляете?,27497
орёл,1,орёл,neutrals,орёл,Какой город Вы представляете?,27497
оренбург,1,оренбург,neutrals,оренбург,Какой город Вы представляете?,27497
пенза,1,пенза,neutrals,пенза,Какой город Вы представляете?,27497
пермь,3,пермь,neutrals,пермь,Какой город Вы представляете?,27497
петропавловск-камчатский,1,петропавловск камчатский,neutrals,петропавловск камчатский,Какой город Вы представляете?,27497
подольск,9,подольск,neutrals,подольск,Какой город Вы представляете?,27497
подольск  московская область,1,подольск,neutrals,подольск московская область,Какой город Вы представляете?,27497
полярные зори,2,полярные зори,neutrals,полярные зори,Какой город Вы представляете?,27497
рассказово,1,рассказово,neutrals,рассказово,Какой город Вы представляете?,27497
ростов-на-дону,6,ростов на дону,neutrals,ростов на дону,Какой город Вы представляете?,27497
рязань,1,рязань,neutrals,рязань,Какой город Вы представляете?,27497
самара,1,самара,neutrals,самара,Какой город Вы представляете?,27497
саратов,1,саратов,neutrals,саратов,Какой город Вы представляете?,27497
саров,27,саров,neutrals,саров,Какой город Вы представляете?,27497
северск,6,северск,neutrals,северск,Какой город Вы представляете?,27497
северск томская область,2,северск,neutrals,северск томская область,Какой город Вы представляете?,27497
симферополь,1,симферополь,neutrals,симферополь,Какой город Вы представляете?,27497
снежинск,6,снежинск,neutrals,снежинск,Какой город Вы представляете?,27497
сосновый бор,4,сосновый бор,neutrals,сосновый бор,Какой город Вы представляете?,27497
сочи,3,сочи,neutrals,сочи,Какой город Вы представляете?,27497
сызрань,1,сызрань,neutrals,сызрань,Какой город Вы представляете?,27497
сыктывкар,1,сыктывкар,neutrals,сыктывкар,Какой город Вы представляете?,27497
таганрог,1,таганрог,neutrals,таганрог,Какой город Вы представляете?,27497
тимашевск,1,тимашевск,neutrals,тимашевск,Какой город Вы представляете?,27497
томск,9,томск,neutrals,томск,Какой город Вы представляете?,27497
трехгорный,3,трёхгорный,neutrals,трехгорный,Какой город Вы представляете?,27497
трёхгорный,4,трёхгорный,neutrals,трёхгорный,Какой город Вы представляете?,27497
тула,2,тула,neutrals,тула,Какой город Вы представляете?,27497
тюмень,2,тюмень,neutrals,тюмень,Какой город Вы представляете?,27497
удомля,2,удомля,neutrals,удомля,Какой город Вы представляете?,27497
ульяновск,1,ульяновск,neutrals,ульяновск,Какой город Вы представляете?,27497
усмань,1,усмань,neutrals,усмань,Какой город Вы представляете?,27497
усолье-сибирское,1,усолье сибирское,neutrals,усолье сибирское,Какой город Вы представляете?,27497
уфа,1,уфа,neutrals,уфа,Какой город Вы представляете?,27497
хабаровск,1,хабаровск,neutrals,хабаровск,Какой город Вы представляете?,27497
челябинск,2,челябинск,neutrals,челябинск,Какой город Вы представляете?,27497
чита,2,чита,neutrals,чита,Какой город Вы представляете?,27497
электрогорск,1,электрогорск,neutrals,электрогорск,Какой город Вы представляете?,27497
электросталь,4,электросталь,neutrals,электросталь,Какой город Вы представляете?,27497
энгельс,1,энгельс,neutrals,энгельс,Какой город Вы представляете?,27497
bim,1,bim,neutrals,bim,Ключевой успех за 4 года,23570
digital atom,1,digital atom,neutrals,digital atom,Ключевой успех за 4 года,23570
lean smart plant,1,lean smart plant,neutrals,lean smart plant,Ключевой успех за 4 года,23570
m&a,2,m a,neutrals,m a,Ключевой успех за 4 года,23570
multi d,1,multid,neutrals,multi d,Ключевой успех за 4 года,23570
multid,3,multid,neutrals,multid,Ключевой успех за 4 года,23570
ux,1,ux,neutrals,ux,Ключевой успех за 4 года,23570
абакумов,2,абакумов,neutrals,абакумов,Ключевой успех за 4 года,23570
абакумов абакумов абакумов,1,абакумов,neutrals,абакумов абакумов абакумов,Ключевой успех за 4 года,23570
амбиции,1,амбиции,neutrals,амбиции,Ключевой успех за 4 года,23570
амбиция атconsulting,1,ат консалтинг,neutrals,амбиция ат consulting,Ключевой успех за 4 года,23570
арида,1,арида,neutrals,арида,Ключевой успех за 4 года,23570
ат консалтинг,1,ат консалтинг,neutrals,ат консалтинг,Ключевой успех за 4 года,23570
покупка ат консалтинг,1,ат консалтинг,neutrals,покупка ат консалтинг,Ключевой успех за 4 года,23570
атомспейс,5,атомспейс,neutrals,атомспейс,Ключевой успех за 4 года,23570
бюджет,1,бюджет,neutrals,бюджет,Ключевой успех за 4 года,23570
в нас поверили,1,в нас поверили,positives,в нас поверили,Ключевой успех за 4 года,23570
внутренняя цифровизация,1,внутренняя цифровизация,neutrals,внутренняя цифровизация,Ключевой успех за 4 года,23570
выделение цифровизации,1,выделение цифровизации,neutrals,выделение цифровизации,Ключевой успех за 4 года,23570
инвестиции в цифру,1,инвестиции в цифровизация,neutrals,инвестиции в цифровизация,Ключевой успех за 4 года,23570
вовлечённость,1,повышение вовлечённости,positives,вовлечённость,Ключевой успех за 4 года,23570
повышение вовлечённости,1,повышение вовлечённости,positives,повышение вовлечённости,Ключевой успех за 4 года,23570
возможность удаленной работы,1,удаленная работа,positives,возможность удаленной работы,Ключевой успех за 4 года,23570
удаленка,3,удаленная работа,neutrals,дистанционно,Ключевой успех за 4 года,23570
удалённая приемка,1,удалённая приемка,neutrals,удалённая приемка,Ключевой успех за 4 года,23570
удаленная работа,1,удаленная работа,neutrals,удаленная работа,Ключевой успех за 4 года,23570
время первых,1,время первых,neutrals,время первых,Ключевой успех за 4 года,23570
выручка,7,выручка,neutrals,выручка,Ключевой успех за 4 года,23570
движение началось,1,движение началось,neutrals,движение началось,Ключевой успех за 4 года,23570
диалог,1,диалог,neutrals,диалог,Ключевой успех за 4 года,23570
ецс,1,ецс,neutrals,ецс,Ключевой успех за 4 года,23570
замена erp,1,замена erp,neutrals,замена erp,Ключевой успех за 4 года,23570
имортозамешение,1,импортозамещение,neutrals,импортозамещение,Ключевой успех за 4 года,23570
импортозамещение,6,импортозамещение,neutrals,импортозамещение,Ключевой успех за 4 года,23570
импортозамещение началось,1,импортозамещение,neutrals,импортозамещение началось,Ключевой успех за 4 года,23570
импортозамещение тарм,1,импортозамещение,neutrals,импортозамещение тарм,Ключевой успех за 4 года,23570
программа импортозамещение,2,импортозамещение,neutrals,программа импортозамещение,Ключевой успех за 4 года,23570
старт импортозамещения,1,импортозамещение,neutrals,старт импортозамещения,Ключевой успех за 4 года,23570
импортонезависимость,2,импортонезависимость,positives,импортонезависимость,Ключевой успех за 4 года,23570
импортонезавтсимость,1,импортонезависимость,positives,импортонезависимость,Ключевой успех за 4 года,23570
индустрия 4.0,1,индустрия 4 0,neutrals,индустрия 4 0,Ключевой успех за 4 года,23570
информационная безопасность,1,информационная безопасность,neutrals,информационная безопасность,Ключевой успех за 4 года,23570
кадры,1,кадры,neutrals,кадры,Ключевой успех за 4 года,23570
квант,1,квант,neutrals,квант,Ключевой успех за 4 года,23570
квантовые компьютеры,1,квантовый компьютер,neutrals,квантовые компьютеры,Ключевой успех за 4 года,23570
квантовый компьютер,5,квантовый компьютер,neutrals,квантовый компьютер,Ключевой успех за 4 года,23570
кнп,1,кнп,neutrals,кнп,Ключевой успех за 4 года,23570
команда,14,команда,neutrals,команда,Ключевой успех за 4 года,23570
работоспособная команда,5,команда,positives,работоспособная команда,Ключевой успех за 4 года,23570
сформирована команда,1,команда,neutrals,сформирована команда,Ключевой успех за 4 года,23570
усиление рыночной команды,1,усиление рыночной команды,neutrals,усиление рыночной команды,Ключевой успех за 4 года,23570
конференция цифровой росатом,1,конференция цифровой росатом,neutrals,конференция цифровой росатом,Ключевой успех за 4 года,23570
культура,1,культура,neutrals,культура,Ключевой успех за 4 года,23570
курс,2,курс,neutrals,курс,Ключевой успех за 4 года,23570
лидерство,5,лидерство,positives,лидерство,Ключевой успех за 4 года,23570
росатом лидер,1,лидерство,positives,росатом лидер,Ключевой успех за 4 года,23570
стать реальным лидером,1,лидерство,neutrals,стать реальным лидером,Ключевой успех за 4 года,23570
логос,4,логос,neutrals,логос,Ключевой успех за 4 года,23570
масштаб,1,масштаб,neutrals,масштаб,Ключевой успех за 4 года,23570
увеличение масштаба,1,масштаб,neutrals,увеличение масштаба,Ключевой успех за 4 года,23570
меньше стали врать,1,меньше стали врать,positives,меньше стали врать,Ключевой успех за 4 года,23570
назад дороги нет !,1,назад дороги нет,neutrals,назад дороги нет,Ключевой успех за 4 года,23570
начали вовлекать бизнес,1,начали вовлекать бизнес,neutrals,начали вовлекать бизнес,Ключевой успех за 4 года,23570
не знаю,1,не знаю,neutrals,не знаю,Ключевой успех за 4 года,23570
не стало хуже,2,не стало хуже,positives,не стало хуже,Ключевой успех за 4 года,23570
нейроморфы,1,нейроморфы,neutrals,нейроморфы,Ключевой успех за 4 года,23570
нет,1,нет,neutrals,нет,Ключевой успех за 4 года,23570
нет успехов,1,нет,negatives,нет успехов,Ключевой успех за 4 года,23570
отсутствуют,1,нет,neutrals,отсутствуют,Ключевой успех за 4 года,23570
нет провала,1,не стало хуже,positives,нет провала,Ключевой успех за 4 года,23570
новые прооекты,1,новые проекты,neutrals,новые проекты,Ключевой успех за 4 года,23570
новые решения,1,новые решения,neutrals,новые решения,Ключевой успех за 4 года,23570
новые точки роста,1,новые точки роста,positives,новые точки роста,Ключевой успех за 4 года,23570
нпт,2,нпт,neutrals,нпт,Ключевой успех за 4 года,23570
обледенение команд,1,обледенение команд,neutrals,обледенение команд,Ключевой успех за 4 года,23570
осознание неотвратимости ит),1,осознание неотвратимости информационные технологии,positives,осознание неотвратимости информационные технологии,Ключевой успех за 4 года,23570
осознание результатов,1,осознание результатов,positives,осознание результатов,Ключевой успех за 4 года,23570
открытость,1,открытость,positives,открытость,Ключевой успех за 4 года,23570
первая продажа цифр продукта,1,первая продажа цифрового продукта,neutrals,первая продажа цифрового продукта,Ключевой успех за 4 года,23570
цифровые продукты,1,цифровые продукты,neutrals,цифровые продукты,Ключевой успех за 4 года,23570
переход на новый уровень,1,переход на новый уровень,positives,переход на новый уровень,Ключевой успех за 4 года,23570
платформы,1,платформы,neutrals,платформы,Ключевой успех за 4 года,23570
поддержка правительства,1,поддержка правительства,positives,поддержка правительства,Ключевой успех за 4 года,23570
признание государства,1,признание государства,positives,признание государства,Ключевой успех за 4 года,23570
покупка ит компании,1,покупка информационные технологии компании,neutrals,покупка информационные технологии компании,Ключевой успех за 4 года,23570
покупка компании,1,покупка компании,neutrals,покупка компании,Ключевой успех за 4 года,23570
попытка реализации стратегии,1,попытка реализации стратегии,neutrals,попытка реализации стратегии,Ключевой успех за 4 года,23570
поступательно вперёд,1,поступательно вперёд,positives,поступательно вперёд,Ключевой успех за 4 года,23570
появились продукты,1,продукты,neutrals,появились продукты,Ключевой успех за 4 года,23570
продуктовизация,1,продукты,neutrals,продуктовизация,Ключевой успех за 4 года,23570
продукты,1,продукты,neutrals,продукты,Ключевой успех за 4 года,23570
приоритеы,1,приоритет,neutrals,приоритет,Ключевой успех за 4 года,23570
стали одним из приоритетов!,1,приоритет,positives,стали одним из приоритетов,Ключевой успех за 4 года,23570
программы,1,новые проекты,neutrals,программы,Ключевой успех за 4 года,23570
проникновение технологий,1,технологии,neutrals,проникновение технологий,Ключевой успех за 4 года,23570
технологии,1,технологии,neutrals,технологии,Ключевой успех за 4 года,23570
работа с государством,1,работа с государством,neutrals,работа с государством,Ключевой успех за 4 года,23570
федеральный уровень задач,1,работа с государством,neutrals,федеральный уровень задач,Ключевой успех за 4 года,23570
разделение цифры и ит,1,разделение цифровизация и информационные технологии,neutrals,разделение цифровизация и информационные технологии,Ключевой успех за 4 года,23570
реальные внедрения цт,1,реальные внедрения цт,neutrals,реальные внедрения цт,Ключевой успех за 4 года,23570
российское по,1,российское по,neutrals,российское по,Ключевой успех за 4 года,23570
сарус,1,сарус,neutrals,сарус,Ключевой успех за 4 года,23570
сделка,1,сделка,neutrals,сделка,Ключевой успех за 4 года,23570
севморпуть,1,севморпуть,neutrals,севморпуть,Ключевой успех за 4 года,23570
синхронизация направлений разв,1,синхронизация направлений развития,neutrals,синхронизация направлений развития,Ключевой успех за 4 года,23570
сотрудничество,1,сотрудничество,positives,сотрудничество,Ключевой успех за 4 года,23570
спжц,1,спжц,neutrals,спжц,Ключевой успех за 4 года,23570
т-ком,1,т ком,neutrals,т ком,Ключевой успех за 4 года,23570
толерантное топливо,1,толерантное топливо,neutrals,толерантное топливо,Ключевой успех за 4 года,23570
успех,1,успех,positives,успех,Ключевой успех за 4 года,23570
целеполагание,1,целеполагание,neutrals,целеполагание,Ключевой успех за 4 года,23570
цифра в hr,1,цифровизация в hr,neutrals,цифровизация в hr,Ключевой успех за 4 года,23570
цифровая вертикаль,1,цифровая вертикаль,neutrals,цифровая вертикаль,Ключевой успех за 4 года,23570
цифровая стратегия,1,цифровая стратегия,neutrals,цифровая стратегия,Ключевой успех за 4 года,23570
цифровые роботы,1,цифровые роботы,neutrals,цифровые роботы,Ключевой успех за 4 года,23570
цод,2,центр обработки данных,neutrals,центр обработки данных,Ключевой успех за 4 года,23570
msk,1,москва,neutrals,москва,Из какого вы города?,25005
город герой москва,1,москва,neutrals,город герой москва,Из какого вы города?,25005
москва,81,москва,neutrals,москва,Из какого вы города?,25005
балаково,3,балаково,neutrals,балаково,Из какого вы города?,25005
безысходное,1,безысходное,neutrals,безысходное,Из какого вы города?,25005
видное,1,видное,neutrals,видное,Из какого вы города?,25005
владикавказ,1,владикавказ,neutrals,владикавказ,Из какого вы города?,25005
волгодонск,4,волгодонск,neutrals,волгодонск,Из какого вы города?,25005
воодушевляюще безмятежное,1,воодушевляюще безмятежное,positives,воодушевляюще безмятежное,Из какого вы города?,25005
глазов,1,глазов,neutrals,глазов,Из какого вы города?,25005
десногорск,1,десногорск,neutrals,десногорск,Из какого вы города?,25005
екатеринбург,3,екатеринбург,neutrals,екатеринбург,Из какого вы города?,25005
железногорск,1,железногорск,neutrals,железногорск,Из какого вы города?,25005
железногорск красноярский край,1,железногорск,neutrals,железногорск красноярский край,Из какого вы города?,25005
заречный,4,заречный,neutrals,заречный,Из какого вы города?,25005
заречный свердловская область,1,заречный,neutrals,заречный свердловская область,Из какого вы города?,25005
зеленогорск,2,зеленогорск,neutrals,зеленогорск,Из какого вы города?,25005
ковров,1,ковров,neutrals,ковров,Из какого вы города?,25005
королёв,1,королёв,neutrals,королёв,Из какого вы города?,25005
краснокаменск,4,краснокаменск,neutrals,краснокаменск,Из какого вы города?,25005
курганская область,1,курганская область,neutrals,курганская область,Из какого вы города?,25005
курск,4,курск,neutrals,курск,Из какого вы города?,25005
курчатов,6,курчатов,neutrals,курчатов,Из какого вы города?,25005
курчатов курская область,1,курчатов,neutrals,курчатов курская область,Из какого вы города?,25005
лесной,4,лесной,neutrals,лесной,Из какого вы города?,25005
минск,1,минск,neutrals,минск,Из какого вы города?,25005
мурманск,1,мурманск,neutrals,мурманск,Из какого вы города?,25005
нижний новгород,9,нижний новгород,neutrals,нижний новгород,Из какого вы города?,25005
нововоронеж,4,нововоронеж,neutrals,нововоронеж,Из какого вы города?,25005
новосибирск,1,новосибирск,neutrals,новосибирск,Из какого вы города?,25005
обнинск,2,обнинск,neutrals,обнинск,Из какого вы города?,25005
озерск,3,озерск,neutrals,озерск,Из какого вы города?,25005
озёрск,2,озерск,neutrals,озёрск,Из какого вы города?,25005
островец,2,островец,neutrals,островец,Из какого вы города?,25005
петрозаводск,2,петрозаводск,neutrals,петрозаводск,Из какого вы города?,25005
питеееер,1,санкт-петербург,neutrals,питер,Из какого вы города?,25005
ураааааа!!,1,радость,positives,радость,Из какого вы города?,25005
санкт-петербург,7,санкт-петербург,neutrals,санкт петербург,Из какого вы города?,25005
спб,1,санкт-петербург,neutrals,санкт-петербург,Из какого вы города?,25005
подольск,4,подольск,neutrals,подольск,Из какого вы города?,25005
полярные зори,3,полярные зори,neutrals,полярные зори,Из какого вы города?,25005
саратов,2,саратов,neutrals,саратов,Из какого вы города?,25005
саров,10,саров,neutrals,саров,Из какого вы города?,25005
сергиев посад,1,сергиев посад,neutrals,сергиев посад,Из какого вы города?,25005
снежинск,2,снежинск,neutrals,снежинск,Из какого вы города?,25005
солнечное,1,солнечное,neutrals,солнечное,Из какого вы города?,25005
сосновый бор,3,сосновый бор,neutrals,сосновый бор,Из какого вы города?,25005
сосновый бор северск,1,сосновый бор,neutrals,сосновый бор северск,Из какого вы города?,25005
трехгорный,3,трехгорный,neutrals,трехгорный,Из какого вы города?,25005
трёхгорный,2,трехгорный,neutrals,трёхгорный,Из какого вы города?,25005
турция,1,турция,neutrals,турция,Из какого вы города?,25005
турция мерсин,1,турция,neutrals,турция мерсин,Из какого вы города?,25005
удомля,4,удомля,neutrals,удомля,Из какого вы города?,25005
удомля тверская обл,1,удомля,neutrals,удомля тверская область,Из какого вы города?,25005
чита,1,чита,neutrals,чита,Из какого вы города?,25005
электросталь - лучший город,1,электросталь московская область,positives,электросталь лучший город,Из какого вы города?,25005
электросталь мо,1,электросталь московская область,neutrals,электросталь московская область,Из какого вы города?,25005
адаптация,2,адаптация,neutrals,адаптация,Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?,24521
баланс работы и личной жизни,1,баланс работы и личной жизни,positives,баланс работы и личной жизни,Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?,24521
безопасность,3,безопасность,positives,безопасность,Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?,24521
безопасность нам её развивать,1,безопасность,positives,безопасность нам её развивать,Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?,24521
культура безопасности,1,безопасность,positives,культура безопасности,Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?,24521
бренд работодателя,1,бренд работодателя,neutrals,бренд работодателя,Какие проекты за рамками обозначенных направлений сейчас актуальны для молодежи?,24521
